jqr,esp,gram_cat
qarapunka,"flaquísimo(a), esquelético(a), hueso y pellejo",adjetivo
qarashta,flaco(a),adjetivo
qarshu,"regenerarse la piel, volver a salir la piel. **qarachunkaya.** s. abejorro, moscardón. **-qari.** suf. y, también. Ej.:",verbo
qarwshu,ponerse anaranjado(a); estar con ictericia,verbo
qarwaña,amarillo(a) (que tira a anaranjado(a)). V. **tyuyu**,adjetivo
qarwañawt’a,"ponerse amarillo(a) (tirando a anaranjado(a)), amarillarse (tirando a anaranjado(a))",verbo
qarwañch’unchu,"yerba de hojas verdes y flores amarillas. Su raíz calma el dolor de muelas. **qarwaña** V. **qarwa**. **qasa.** v. helarse, secarse las plantas por el frío intenso",sustantivo
qasshu,"helarse completamente, secarse totalmente las plantas por el frío intenso. **qasi.** v. dirigir el curso del agua (en acequia pequeña, con pala y lampa)",verbo
qasqasara,"dirigir el agua por diferentes lugares, con pala. **qásipi.** s. hielo; helado (golosina); adj. helado(a), congelado(a)",verbo
qasipt’a,"congelarse, helarse; solidificarse (líquidos). **qaspa** , **qaspshu** V. **qhaspa**. **qasqa.** s. cobertizo, choza provisional",verbo
qasqaya,"hacer sombra. **qashi.** adj. tranquilo(a), quieto(a)",verbo
qashiwt’a,"tranquilizarse, calmarse, estarse quieto(a). **qata.** s. perra. **qawchuma.** s. quijada, mandíbula (u. a.). **qawtru.** v. orinar en exceso o frecuentemente; orinarse en la cama, de noche; s. persona que está mal de salud, que sana después que muere algún ser querido que estaba bien de salud",verbo
qawtruya,"i. sanar después que muere un ser querido que estaba bien de salud; v. t. causar la muerte de ser querido que estaba bien de salud. **qawi** V. **kawi**. **qawra** o **qarwa.** llama (animal) (u. a., SB, TMX-JCT)",verbo
qayllasana,"con hijos(as), que tiene muchos(as) hijos(as)",adjetivo
qayllshqha,"volverse niño(a) otra vez, actuar como niño(a). **qayllaqutu.** s. cactus pequeño y espinoso. **qaaqa.** s. peña; cerro",verbo
qaaqqaaqa,"peñolería, peñas. **qitra.** s. pasto que crece en el campo o en chacras (de maíz, papa, etc.) en tiempo de lluvia. **qíllaya.** s. plata (el metal); dinero, moneda",sustantivo
qillqt’a,leer,verbo
qillqt’anushu,"lo que es para leer, lo que se lee o sirve para leer. **qillqt’a** V. **qillqa**. **qiqi** (1) adj. y s. incestuoso(a), que tiene trato carnal con pariente(a) cercano(a). **qiqi** (2) v. chillar (loro, etc.). **qispi.** s. cristal, vidrio, piedra de cristal; adj. transparente. (SB y TMX-JCT) **qishqi.** s. variedad pequeña de maguey, de flores rojas. **qishu.** s. planta que crece sobre las peñas y arraiga en poca tierra. Sus flores son parecidas a las del gladiolo. **qitantu.** s. hollín (de la pared, en forma de bolitas o como telaraña). **qiwa.** s. pasto, hierba (que come el ganado). **qutra.** s. lago, laguna; estanque; halo lunar",sustantivo
qutraya,"empozar, encharcar, embalsar, represar, formar estanque. **qutrpi.** s. puñado",verbo
qutrpta,coger un puñado; sacar un puñado al azar (con una mano o con las dos juntas). **qutrqutra.** s. zanja; rombo; hilera de rombos (adorno en fajas y trenzas). V. **k’ana**. **-qutru.** suf. forma adjetivos uniéndose a raíces verbales. Ej.:,verbo
qullqara,"despedregrar, sacar las piedras",verbo
qullqarqha,"despedregar nuevamente, sacar las piedras nuevamente",verbo
qullqt’a,"amontonar, reunir (piedras). **qullqi.** s. sencillo, suelto (moneda(s) pequeña(s), de escaso valor nominal). **qullqt’a** V. **qullqa**. **quma.** v. empollar, incubar. **qumpa.** s. objeto o cuerpo grande, pesado y voluminoso",verbo
qumparpaya,"arrojar o hacer rodar objetos o cuerpos grandes, pesados o voluminosos",verbo
qumpkata,"coger y lanzar objeto o cuerpo grande, pesado o voluminoso",verbo
qumpkatishi,arrimarse (a la pared),verbo
qumpnuqu,"derribar, tumbar, dejar caer en el suelo (algo grande y pesado)",verbo
qumpnuqishi,"caer pesadamente (una sola persona, cuerpo u objeto)",verbo
qumpnuqishirqaya,"caer pesadamente (varios(as), muchos(as))",verbo
qumpqumpara,"estar tirados(as), estar desperdigados(as) (cuerpos u objetos grandes, pesados o voluminosos)",verbo
qumpqumprishi,"caer pesadamente (varias personas, cuerpos u objetos grandes, en diferentes sitios)",verbo
qumpthapa,"aplastar (acción de objeto o cuerpo grande, pesado o voluminoso, de animal grande, etc.)",verbo
qumpuru,"meter (objeto o cuerpo grande o voluminoso). **qumpara.** s. chicha. **qumpishi.** s. faja interior, que va debajo de la",verbo
qunqutsa,"anudar, hacer nudo. **quntu.** s. hierba de hojas redondeadas. Una variedad es de hojas alargadas. **quñi.** adj. caliente, tibio(a) (JMBF en ""Colección de Textos de Haqe-Aru o Kawki"", sobretiro de la",verbo
qurqyaqa,"reverso, parte de atrás, lo que está a la vuelta",sustantivo
qurqyaqna,"detrás, atrás, detrás de",adverbo
qusitha,?por qué?; conj. porque (para explicar causa o razón),pronombre
quwa,"?qué? **qusitha** V. **qusa**. **qutu.** s. montículo; protuberancia; bocio; tumor, abultamiento (en el cuerpo); hinchazón (por golpe)",pronombre
qutqutu,"desigual, accidentado (terreno). **quwa** V. **qusa**. **quyu.** adj. moreteado(a), con moretón o hematoma; verde (por golpe); verdoso(a)",adjetivo
quyshu,"estar moreteado(a), ponerse morado(a) o verdoso(a)",verbo
qhajtrpta,"rayar o arañar en varias partes, raspar o pulir en varias partes",verbo
qhajtrishi,afeitarse,verbo
qhajtrshu,"rayar todo, arañar todo; raspar todo; pulir todo",verbo
qhajtrwaqa,"rayar o arañar una sola parte, raspar o pulir una sola parte. **qhamya.** adj. insípido(a) (sin suficiente sal o azúcar). **qhantyi.** adv. rápidamente, rápido",verbo
qhaspshu,"chamuscarse (vello, pelo, plumas, etc.). **qhawi** o **qawi.** s. oca seca, deshidratada (es más dulce que la fresca)",verbo
qhawshu,"deshidratarse (papa, oca, higo, uva). **qhawqhi.** s. maíz, trigo o haba a medio cocer. **qhitrwa.** s. quechua (zona de clima templado que está inmediatamente por debajo de la puna). (II) **qhillpi.** s. ceniza",verbo
qhimkata,"empujar, arrinconar; apretar (grano o erupción de la piel, para que salga pus u otra materia)",verbo
qhimt’a,"arrimar, arrinconar. **qhintyi** (1) s. cerumen (cera del oído). **qhintyi** (2) s. arruga o surco (especialmente a los lados de la nariz) que se forma o nota al fruncir el rostro; v. encogerse (ropa, etc.), contraerse",verbo
qhintyaya,fruncir (nariz),verbo
qhintytr’a,"i. encogerse, contraerse. **qhintrha.** s. empalizada o cerco (de palos, o cañas y ramas espi- nosas); cerca o barrera de ramas espinosas o maleza que se pone sobre muro o pared",verbo
qhist’a,"hartarse, hastiarse (de comida); aburrirse, hartarse (de hacer algo). **qhishqi.** s. orquídea (JMBF). **qhita.** s. leña del",verbo
qhunquruya,hacer arrodillarse. **qhurpa.** s. acequia principal (empedrada) de la chacra. V. **narqu**. **qhuta marka**,verbo
qhutkata,"agrupar, juntar en un solo lugar",verbo
qhutpta,cargar con ambas manos. V. **icha** (1). ## Q’ **q’acht’a.** v. sobresaltarse (de sorpresa o susto),verbo
q’acht’aya,"t. sobresaltar. **q’atra** (1) adj. enojadizo(a); tacaño(a), miserable",verbo
q’atrq’atra,"con ropa nueva, con vestido nuevecito",adjetivo
q’atrq’atrta,"crujir, rechinar",verbo
q’aqmuku,"sacudir (el polvo, de ropa o trapo, etc.)",verbo
q’aqnushu,honda. V. **waraka**,sustantivo
q’aquru,"sacudir (trapo o ropa, desempolvando)",verbo
q’aqurshu,"temblar (la tierra); hacer temblar, sacudir (terremoto, temblor de tierra). **q’aqara.** v. i. despejar (cielo), escampar",verbo
q’aqtata,"i. despejar(se) (el cielo), escampar). **q’ara.** adj. sin ropa, sin abrigo",verbo
q’arapata,"sin ropa, sin abrigo; sin dinero, pobre. **q’asa** (1) v. gritar, llorar a gritos",adjetivo y sustantivo
q’asajra,"llorón(na).***q’ásajra*** **q’asa** (2) adj. amargo(a), ácido(a), agrio(a)",adjetivo y sustantivo
q’askha,"sentir súbitamente amargura, acidez o agriedad",verbo
q’asshu,"t. amargar, hacer sentir amargo(a), ácido(a) o agrio(a). **q’awi.** v. erosionar; s. erosión",verbo
q’awshu,erosionar; erosionar completamente. **q’intsa.** s. racimo,verbo
q’intsshu,formarse racimo(s). **q’iña.** adj. turbio(a); s. sedimento (de agua turbia),verbo
q’iñatsa,t. enturbiar,verbo
q’iñpta,t. enturbiar,verbo
q’iñshu,"i. enturbiarse, ponerse turbio(a)",verbo
q’iñshuya,"t. enturbiar, poner turbio(a). **q’iñtyu.** s. colibrí, picaflor. **q’iru.** s. maguey. **q’utyu.** s. hombro. **q’utrqu.** adj. que le falta un miembro o parte de él",verbo
q’ullkhishi,"desprenderse, arrancarse. **q’uqu.** v. estar sentado(a); consultar (con adivino(a) o brujo(a)), responder a consulta (adivino(a)) (JMBF)",verbo
q’uqiñuña,"pajarito pequeño que parece estar siempre sentado o descan-sando, posiblemente por tener patas muy cortas",sustantivo
q’uqnuqu,sentarse en cuclillas,verbo
q’uqpaya,"estar sentado(a) acompañando a otro(a). **q’urawa** (1) s. intestino(s), tripa(s)",verbo
raprapta,"flamear, ondear (bandera, trapo). **rata.** s. rata. **ratu.** s. rato, momento",verbo
rat’aya,"renquear, cojear. **rawma.** s. reumatismo. **rayu.** s. rayo. V. **wakhri**. **-ri.** suf. agentivo. En las palabras con -",verbo
ribara,"romper(se) la cabeza, causar(se) herida en la cabeza (cuero cabelludo). **riklama.** v. reclamar. **riku.** adj. y s. rico(a), adinerado(a)",verbo
rikshu,"enriquecerse, volverse rico(a)",verbo
rikshuya,"t. enriquecer, volver rico(a). **riluja.** s. reloj. **rinrinta.** adj. apretado(a), que ajusta (por ej., el zapato). **ritama.** s. retama (arbusto de flores amarillas y tallo consis-tente que se usa para fabricar mango de palos; sirve también para leña). **ritashu.** adj. y s. pobre, despreciado(a), de origen humilde; ladrón(na). **riti.** s. escarcha; copo de nieve. **-riw** o **-riwa.** suf. combinación de -",verbo
sajishi,decir el recado; hablarse,verbo
saqha,"volver a decir, decir nuevamente; resonar (eco); **saqhiri.** s. el/la que vuelve a decir",verbo
sáyaya,"hacer decir. **saja** (2) v. intentar, tratar de (en conexión con -",verbo
sajnushu,telar,sustantivo
sajpta,"tejer en gran cantidad. **sakacha.** adv. aquí cerca, acá muy cerca",verbo
sakna,acá cerca,adverbo
sakyaqa,"atrás, a la vuelta. V. **s-** (1). **saktr’a.** v. amarrar a un palo o estaca",adverbo
saktr’anushu,lugar donde se amarra; soga. V. **matya**,sustantivo
saktr’shu,amarrar todo el ganado. **sakha.** v. llevar o traer de la mano; conducir animal o persona; reclutar,verbo
sakhishi,llevar o traer de la mano; conducir animal o persona; reclutar,verbo
sakhuru,"llevar de la mano hacia adentro; poner cinta al ganado (en la oreja); s. canal (de surco), depresión entre surco y surco. **salba.** v. salvar, salvarse",verbo
sálbishi,salvarse. **salta.** v. saltar. **sama** (1) o **saama.** s. espalda,verbo
samnuqu,"i. calmarse, desaparecer (dolor)",verbo
samt’a,"descansar. **samba.** adj. morado(a). **sámini.** s. vapor, vaho. **sampacha** V. **sa**. **sana.** v. i. sanar. V. **amrut’qha**",verbo
sanu,"sano(a); no dañado(a), no golpeado(a) (objetos, frutas, etc.). **-sana** (1) suf. indica pluralidad o abundancia. Ej.:",adjetivo
sankshu,"i. espesar, espesarse (sopa, mazamorra). **-sanqa.** suf. es lo mismo que -",verbo
sap’sap’ta,"aletear. **-saqa.** suf. por (causa, motivo). Ej.:",verbo
sarpta,"pisotear con fuerza, con ira",verbo
sarshu,"tapar o cerrar acequia, cerrar salida de agua de manantial o acequia. **sasa.** adj. y adv. difícil. Ej.:",verbo
sasatsa,"poner difícil, hacer difícil; estorbar, dificultar. **sasantr’a** o **sasanka.** v. adormecerse",verbo
sawuru,"plantón; v. plantar (plantón, estaca, etc.)",sustantivo
sawurshu,plantar (estacas o plantones) en varios sitios. **sawma.** s. sahumar. V. **t’usqaya**. **sawsi.** s. sauce. **sawya.** s. espantapájaros,verbo
sawyshu,"colocar muchos espantapájaros. **saya.** v. i. pararse, estar de pie; s. estatura, talla",verbo
sáyaya,"t. parar, hacer parar, hacer ponerse de pie; fundar (ciudad, pueblo, etc.); construir; p. e. ?alto!, ?para! (a personas o ganado)",verbo
saymashi,de la misma edad; contemporáneo(a),sustantivo
saynuqu,"ponerse de pie, pararse; estar de pie; pararse en formación, estar en formación; detenerse",verbo
saynquyu,"t. hacer parar, hacer detenerse (a alguien que camina); construir",verbo
saypta,"levantarse (de cama o asiento). **sayala.** adj. desigual, mal puesto(a) (prenda de vestir). Ej.:",verbo
sijtr’muku,"romper rápidamente o rasgar rápidamente, de un tirón (papel, tela). **sijpi.** s. corteza (de árbol)",verbo
sijpshu,"sacar (corteza de árbol), descortezar; desollar, sacar el pellejo, cuero o piel",verbo
sipasani,que tiene amanta,adjetivo
sipsaniwt’a,"tener amanta, conseguirse amanta (el varón)",verbo
sipasshu,"entrar (niña) en la adolescencia; hacerse señorita, ser señorita",verbo
sipasshqha,"rejuvenecer (mujer); recuperar condición de mujer libre (por divorcio o separación). V. **musshqha**. **sipri.** s. ceja. **sira.** s. pedo, ventosidad",verbo
sirshu,"peer, soltar pedo(s)",verbo
sirpta,"peer frecuentemente; agotarse, cansarse (trabajando o peleando). **sirbisa.** s. cerveza. **sirbishu.** s. servicio (incluyendo el servicio militar)",verbo
sirwi,"servir. **sirinu.** s. sereno (humedad que se condensa en la madrugada y noche); llovizna. **sita.** v. dar turno, poner fecha; programar. **sitimbri.** s. setiembre. **sit’i** V. **sits’i**. **siwju** (1) adj. recto(a), derecho(a) (sea vertical u horizontal). V. **saja** (3)",verbo
siwjsiwata,"planta de tallo recto, de flores semejantes a las de la campanilla. **siwju** (2) p. e. onom. del zumbido del vuelo de aves",sustantivo
sukna,allá cerca,adverbo
sulshuya,"soltar más, extender más (soga, cuerda, etc.). **sumpi.** adj. sin utilizar, disponible; sin cultivar",verbo
suntraqa,"alargado(a), largo(a)",adjetivo
sunshu,i. alargarse,verbo
sun-shuya,"t. alargar. **suniqi.** s. raya en medio de la cabeza (peinado). **suqa.** s. concavidad o hueco en que se guardan tubérculos o animales pequeños. **suqhu** o **suqu.** v. hincar (una espina, algo puntiagudo, con el dedo, etc.); señalar (con el dedo)",verbo
suqhuru,"hincar, hundir hincando; s. hincón",verbo
suqhrushi,i. hundirse. (En esta palabra ni la,verbo
suqhpta,"hincar, perforar con hincada. **suqhrushi** V. **suqhu**. **suq’uru.** s. hojas que envuelven la mazorca del maíz, panca. **surala.** s. terreno (delimitado) no utilizado. **surdu.** adj. zurdo(a). **suruchi.** s. mal de altura, soroche. **súruma.** s. ladera",verbo
suwirtini,"suertudo(a), con suerte, que tiene suerte",adjetivo
shanq’pta,"atorarse, atragantarse. **shanq’a** (2) s. flor del sanpedro. V. **áchuma**. **sanq’u**. v. agriparse. (MH) **shaplluru.** s. araña peluda y grande.***tarántula*** **shapra.** s. vello del pubis o de la axila; paja seca, ramitas secas",verbo
shaqlt’a,"cicatrizar.***no es con ""a"" sino con ""i"": shiqa, shiqla, shiqlt’a*** **shaqsha.** adj. despeinado(a)",verbo
shijch’kha,dar golpe (no muy fuerte) con algo aplanado; dar aletazo.***es con ty’*** **shijmi.** s. agua escurrida,verbo
shijmuku,botar o echar (agua); escurrir,verbo
shijmshu,"escurrir, vaciar de un recipiente a otro (evitando que el poso o cualquier otra materia se vaya con el agua). **shillu.** s. uña. **shimi.** s. boca; hocico; pico (de ave); labio; diente, muela",verbo
shimk’ama,planta de tallo leñoso. Su fruto es de color rojo y calma el dolor de muela (o diente),sustantivo
shimshimi,"dentado(a) (borde de las hojas). **shimk’ama** , **shimshimi** V. **shimi**. **shinka.** adj. y s. borracho(a); v. emborracharse",adjetivo
shinkayshinka,muy borracho(a),adjetivo
shinkkipa,emborracharse a medias,verbo
shinkmashi,compañero(a) de borrachera,sustantivo
shinkt’a,"emborracharse, embriagarse. **shinkaypi.** s. codo.***shunkaypi*** **shipimpi.** s. quijada o mandíbula. **shipita.** s. arbusto espinoso. Sus hojas, molidas y cocidas, calman el dolor de cabeza. **shipshipi.** p. e. onom. de la voz que emite la perdiz",verbo
shipshipta,"cantar, emitir voz (la perdiz). **shipu.** v. amarrar bien (atado), asegurar bien (algo que se amarra, la carga sobre acémila, etc.); ajustar (atando)",verbo
shipkata,"asegurar (atando); amarrar bien, atar bien. **shiqa** o **shiqu.** adj. picado(a) de viruelas. **shiq’i.** s. andén, bancal",verbo
shiq’ishicha,"en fila, uno(a) tras otro(a)",adverbo
shiq’ishiq’i,"andenes, sitio donde hay andenes",sustantivo
shiq’aya,arrastrar. **shiri.** v. hacerse herida (por apretadura de soga o correa),verbo
shirkha,"hacer herida, causar herida (por apretadura de soga o cuerda). V. **mata** (1). **shiringa.** s. ladera prolongada y angosta. **shishi.** s. comezón, prurito; v. escocer, picar; sentir picazón o comezón",verbo
shutyintsa,"nombrar, llamar, dar nombre. **shuki.** s. zapato (de modelo nativo, de cuero de vaca)",verbo
shuktaki,"cuero para zapato. **shúkullu.** s. lagartija. V. **waptyaqu**. **shukuruna.** s. planta de hojas verde claro, tallo pequeño y flor morada.***shukuruma*** **shuk’u.** s",sustantivo
shumayshu,i. ponerse hermoso(a) o bonito(a),verbo
shumayshuya,"t. poner hermoso(a) o bonito(a), hermosear. **shunku.** s. parte llana o ""repisa"" de una ladera; meseta.***topón. barrio de Ayza*** **shunta.** v. reunir, juntar; cosechar (en general)",verbo
shuntishi,"reunirse, juntarse; incorporarse, unirse",verbo
shuntthapa,"cosechar; juntar en un solo sitio (lo cosechado); reunir de grupo en grupo, reunir lo disperso. **shuñu** V. **shullu. shúqushu.** s. carrizo, caña",verbo
shuqushuqushu,"yerba cuyo delgado tallo es semejante al carrizo. **shuq’a.** s. hueco (en fruta o papa, hecho por gusano o pájaro). **shuq’u.** v. beber a sorbos; sorber (con o sin cañita), absorber",sustantivo
shuq’shu,"sorber completamente, absorber completamente",verbo
tajnqurqaya,pisotear (varios una cosa),verbo
tajnuquyu,"hacer pisar, hacer pisotear, hacer atropellar",verbo
tajnuqshu,"pisotear (muchas cosas), pisotear todo; **tajnuqshuta.** adj. pisoteado(a)",verbo
tajnuqtajnuqu,"caminar paso a paso, avanzar paso a paso (para asegurar el equilibrio). **tajta.** v. botar, arrojar",verbo
tajtarpaya,arrojar bruscamente hacia abajo,verbo
tajtmuku,botar a la pasada,verbo
tajtnatsa,"dejar caer, soltar (al suelo)",verbo
tajtnatsishi,"i. caer, caerse",verbo
tajtshu,botar hacia afuera; sacar,verbo
tajturu,"caer (de parte alta las hojas de los árboles, etc.). **tajyu.** v. pararse, detenerse; estarse quieto(a)",verbo
tajynuqu,"asentarse, aclararse (líquido). **takata.** v. quedarse tercamente en un lugar. **-taki.** suf. para. Ej.:",verbo
tantayqhasa,"quedarse pensando, meditar, reflexionar. **-tanwa.** suf. Es unión de -",verbo
tashkaya,"hacer recibir; recibir (agua de socorro); s. eco, resonancia. **tata.** s. padre, papá",verbo
tati,abuelo (combinando con,sustantivo
timpucha,"a tiempo, oportunamente; rápidamente. **tinku.** v. encontrarse; confluir; coincidir ; s. punto de unión o reunión; encuentro, confluencia (de río, de camino, etc.). **tinya.** s. tambor pequeño. V. **wankara**. **tiqsi.** adj. y s. paseante, paseandero(a).***vago*** **tira.** s. cuna (es portátil). **tirrimutu.** s. terremoto. V. **warwi**. **titanku.** s. variedad de maguey cuya raíz es comestible. **tíwyasha.** s. pájaro carpintero. **tiya** (1) s. tía (de parte e madre o padre). V. **ámini** e **ipi**",adverbo
tiyu,"tío. V. **kaka**. **tiya** (2) s. té. **-tma.** suf. te, a ti (él o ella a ti, en pasado y presente). Ej.:",sustantivo
tujrshu,"usar como bastón (II). **tujsa.** v. apestar, heder; oler, despedir olor (agradable o no); **tujsiri.** adj. hediondo(a), pestilente",verbo
tukuru,"plantar estaca; s. golpe dado a estaca para clavarla o hundirla; estaca delgada que se clava para asegurar la urdimbre de faja que se está tejiendo (son varias estacas por pieza que se teje). **tukuytuku.** adj. tupido(a) (plantas, vegetación); adv. tupidamente. **tumana.** s. arbusto pequeño, utilizable para leña. Tiene pequeños *frutos azules, no comestibles. **tumbu.** s. tumbo (fruta cítrica). **tumpa** (1) v. culpar; calumniar",verbo
tumpacha,un ratito; un poco más; apenas; poco no más,adverbo
tunaya,"derrumbar, demoler, derruir, hacer caer",verbo
tunuru,"derrumbarse poco a poco, caerse a pedazos; derrumbarse súbitamente. **tunqu** (1) s. maíz (el grano); grano de maíz; maíz tostado. V. **ujara**. **tunqu** (2) s. corral, [terreno] cercado. (TMX-JCT) **tunshu** (1) s. yerba pequeña con raíz como la yuca, que usan para lavarse la cabeza. **tunshu** (2) s. tuétano, médula. **Tupi.** s. Tupe (pueblo donde hablan jacaru, situado entre los ríos Chancay y Tupe, en la provincia de Yauyos, departamento de Lima). **tupu.** s. medida; v. medir (SB). **turkasa.** s. torcaza (variedad de paloma). **turku.** v. cambiarse de ropa. **turmanya.** s. arcoiris",verbo
tutkha,"ayer mismo. **tutu.** adj. hueco(a) (lo que es largo), tubular",adverbo
thajnaqa,buscar aquí y allá,verbo
thajqha,"rebuscar (recoger lo que queda de la cosecha); s. rebusco. **thajturu.** echar, derramar. (MH) **thaki.** s. camino. **-thapa.** suf. poner una cosa sobre otra, apilar; cubrir (echando o poniendo algo). Ej.:",verbo
tharshu,"arar todo. V. **amka** , **ch’ajma** , **wanqu**. **thuru.** s. mazorca de maíz, sin granos, desgranada (""coronta""). **thusu.** v. escupir; s. escupitajo. **thuthuru.** adj. oscuro(a) (atardecer o anochecer)",verbo
thuthurt’a,"i. oscurecer, anochecer; perder por un momento la memoria. ## T’ **-t’a.** suf. inmediatamente, de una vez; asumir o adquirir una condición o estado, entrar en una situación. Ej.:",verbo
t’urkha,"masticar de repente; morderse la lengua. **t’urusqa.** s. pelo horquillado; adj. de poco pelo, con poco cabello. **t’usqi.** s. polvareda, humo",verbo
t’usqaya,"hacer humear, levantar humo; sahumar; levantar polvareda",verbo
t’usqicht’usqi,"echar mucho humo, humear mucho; levantar mucha polvareda",verbo
t’usqisana,polvareda; humareda,sustantivo
t’usqptaya,levantar polvareda. ## U **uchqa.** s. muca (mamífero marsupial). (JMBF) **uchu.** s. ají. **utsa.** s. mazamorra; masa espesa; adj. espeso(a),verbo
utsshu,"i. ponerse espeso(a), espesar, espesarse",verbo
utsutsa,"muy espeso(a). **utyipi.** adj. malogrado(a), podrido(a). **utyiqi.** s. saliva. **útyitya.** adj. pequeño(a), chico(a), corto(a); agudo(a), delgado(a) (voz); angosto(a) (camino); menor; utyityllacha",adjetivo
utyityshu,"i. empequeñecer, empequeñecerse; encogerse",verbo
utyityshuya,"t. empequeñecer, acortar, achicar; encoger",verbo
utyu,"encogido(a), que queda corto(a) (ropa, etc.)",adjetivo
utyshu,"encogerse, quedar corto(a) (ropa)",verbo
utyutyullqu,"duende (hombrecillo, genio de la tierra, que puede aparecer con su vicuña o con su venado). **utyityllacha** V. **utyitya**. **utyu** , **utyshu** V. **útyitya**. **utyutyullqu** V. **útyitya**. **utyhunsa.** s. hueco, agujero; hueco profundo (horizontal o vertical). (Es también topónimo del área de Ayza.) V. **p’utranku**. **utrhunsa** V. **utyhunsa**. **újara.** s. maíz (la planta). V. **tunqu**. **ujts’a** s. tamaño. Ej.:",sustantivo
ujtkipa,venir volteando la esquina; visitar (col.); s. visita (col.),verbo
ujtqha,"volver, retornar, regresar (hacia donde está el hablante)",verbo
ujtujta,"venir con frecuencia, visitar con frecuencia, tener costumbre de venir o visitar. **uju** o **uj.** p. e. ?uf! (para expresar exceso, demasía o abundancia). **uka.** pron. ese(a), eso; s. parte(s) (órganos sexuales)",verbo
ukapha,"por allá, por allí",adverbo
ukasu,"junto a eso, cerca de eso; al lado, al costado",adverbo
ukatha,"entonces, después; por eso; de allí, desde allí, desde allá; **ukatqa.** adv. después, entonces; además",adverbo
uktraqa,luego,adverbo
ukna,"allá, allí",adverbo
uknayku,V. **-nayku**,desconocido
ukyaqa,"allá a la vuelta. **ukaliptu.** s. eucalipto. **ukatha** , **ukatqa** V. **uka**. **ukkhishi.** p. e. ?cuidado!",adverbo
ukshara,"después todavía, después, luego. **uktubri.** s. octubre. **ukumari.** s. oso (SB). **ukyaqa** V. **uka**. **ukha.** adv. por allá; ***por allí, por ahí*** p. e. unos(as) (expresando que son relativamente pocos(as))",adverbo
ukhacha,"ahí no más, eso no más; entonces (en relatos); may ukhacha",adverbo
ukhamapsa,"así también, no importa",adverbo
ukhamtraqa,"así más o menos, aproximadamente así",adverbo
ukhmatsa,hacer así,verbo
ukhanha,todos(as) nosotros(as) (excluye oyente(s)). V. **ukhasa**,pronombre
ukhapha,"todo; todo(a); todos(as) ellos(as); adj. entero(a), completo(a)",pronombre
ukhasa,todos(as) nosotros(as) (incluye oyente(s). (Esta palabra y,pronombre
ukhukha,"tanto; adj. tanto(a), tantos(as)",adverbo
umashika,"muy jugoso(a), muy blando(a) (frutas)",adjetivo
umlla,blando(a) (fruta),adjetivo
umnuqunushu,lugar de mucha agua (es un topónimo). V. **-nuqu**,sustantivo
umpta,beber demasiado,verbo
umshu,"beber todo; derretirse; **umshuta.** adj. aguado(a), aguachento(a)",verbo
umshuya,"t. aguar, hacer aguar; derretir, hacer derretir, fundir, licuar (volver líquido)",verbo
umt’a,tomar; beber un sorbo,verbo
umuma,"muy aguado(a), aguadísimo(a)",adjetivo
umuru,tomar aunque sea un poco,verbo
umwaqa,"beber, tomar; beber un poco (al empezar a beber). **umka.** v. alimentar, dar de comer (aves a sus crías, como la paloma, etc.). **umlla** , **umshu** V. **uma**. **umpta** V. **uma**. **umpullu.** s. planta rastrera de ramas espinosas; su flor es de color rojizo. **umt’a** , **umuma** , **umwaqa** V. **uma**. **unguru.** s. olla pequeña. (u. a.) **unkha**. v. doler. (MH) **unst’a**. v. uncir; amarrar. (MH) **uña.** s. becerro, ternera, cabrito, cordero; cría (pequeña) de un animal",verbo
uñuña,"ternerita, becerrito. **-uña.** suf. diminutivo. Ej.:",sustantivo
uñantskha,"repartir.***medir; señalar*** **upa** (1) pron. él, ella",verbo
upkuna,ellos(as). **upa** (2) adj. y s. mudo(a),pronombre
upatya,"silencioso(a), callado(a); adv. en silencio, silenciosamente, calladamente",adjetivo
uptyacha,"en silencio, silenciosamente, calladamente",adverbo
upatyt’a,"i. callarse; contenerse (de llorar, de hablar)",verbo
upatyt’aya,"t. hacer callar, silenciar",verbo
uptr’a,"i. ensordecer (por infección al oído) **upatya** , **upatyt’a** V. **upa** (2). **uptyacha** V. **upa** (2). **uqi.** adj. plomo(a), plomizo(a), gris, cenizo(a). **uqitri.** s. rescoldo (brasa entre la ceniza). (JMBF) **uqu** (1) s. lodo, barro; pantano, lodazal",verbo
uqshu,"ponerse lodoso(a) o pantanoso(a); formarse lodo, formarse pantano o lodazal",verbo
uqshuya,enlodar; hacer lodo o barro; formar pantano o lodazal,verbo
uququ,"lodazal, pantano. **uqu** (2) o **uqhu.** s. tos",sustantivo
uqshu,toser,verbo
uqtata,empezar a toser. **uquqa.** p. e. onom. de la voz del chancho,verbo
uquqta,"emitir voz (el cerdo, no gruñendo). **uqhu** V. **uqu** (2). **uuqu.** v. tragar",verbo
uuqaya,hacer tragar,verbo
uuqpta,tragar rápidamente. **ura.** s. hora,verbo
urshu,i. hacerse tarde,verbo
urshuya,"t. demorar, hacer pasar el tiempo. **uranqu.** s. mosca carroñera azulada (creen que aparece cuando alguien va a morir)",verbo
urpt’a,"nublarse, formarse neblina. **urpi** (2) s. capa o nata que se forma en la comida guardada",verbo
