jqr,esp,gram_cat
ashuru,"hoy día. ***áshuru*** **ashaqa.** (1) adj. hediondo(a), maloliente; v. heder, apestar, despedir mal olor",adverbo
ashtkata,"llevar, trasladar, traer (pasando puente o acequia)",verbo
ashtqha,"volver a traer, volver a trasladar, volver a llevar",verbo
ashtshu,sacar (cosas en general),verbo
ashtshuyqha,"volver a hacer desocupar (casa), volver a hacer sacar (cosas en general)",verbo
ashturu,"echar, meter (todas las cosas, a casa o cueva). **ashulu.** adj. y s. pobre, pobretón(na). **ashuti.** v. intj. ¡fuera! (para botar al perro). **ashuwi.** v. aporcar por primera vez (quitar mala hierba, reforzar con tierra la raíz o tallo de las plantas y preparar la acequia); deshierbar, quitar maleza; s. primer aporque. V. **kallwi**. **ata.** s. mata, plantas (cercanas y no muy grandes) que pueden asirse como manojo. **ataja.** v. atajar (interponerse impidiendo el paso). **atatawa.** p. e. ?qué asco! **atipa** o **atipi.** v. vencer, derrotar; vencer (por ej., el peso o algo que no se puede controlar)",verbo
atuqshu,"volverse zorro (adquirir niño(a) conducta o inclinaciones de zorro cuando este animal toma contacto con sus pañales o ropa). **atuquñachi.** s. bledo (yerba comestible). **atura.** v. atorar, atracar, obstruir",verbo
at’unkshu,"ten-der (todas las frazadas o mantas, en toda la superficie dispo- nible)",verbo
at’unkshqha,volver a tender (lo que se había reco-gido del piso o de la cama),verbo
at’unkshuya,"hacer tender todo, en todo el piso",verbo
at’unkshuyqha,"volver a hacer tender. **awanta.** adv. adelante, delante; antes, primero; adj. primero(a), delantero(a)",verbo
awantna,"delante, adelante; delante de",adverbo
awantshu,"i. adelantarse, avanzar",verbo
awantshuya,"t. hacer adelantar, hacer avanzar, ade- lantar. **áwata.** v. pastar, pastorear; **awtiri.** s. pastor(a)",verbo
awatshu,"apacentar en toda la extensión del terreno (intencionalmente o no). **awashinku.** s. maíz tostado (de granos verdes). **awqa.** s. enemigo(a), contrario(a), adversario(a)",verbo
awqshu,"volverse enemigo(a), hacerse enemigo(a) o contrario(a). **awqu.** adj. y s. (maíz) de grano amarillo y grande. **aya** (1) v. llevar o traer (palos u objetos alargados no flexi- bles)",verbo
aykata,"poner tronco(s) para cruzar acequia, zanja o río; extender o acercar pie o mano hacia el fogón u ortiga (para sentir, según el caso, si quema o irrita); aumentar leña (a hoguera o fogón); cruzar zanja o acequia (saltando o de un solo paso); contener la puerta con el pie; introducir, meter (miembro viril); s. metida, penetración",verbo
aykatshu,pasar palos de una orilla a otra,verbo
aykipa,llevar o traer palo(s) (dando la vuelta o doblando la esquina),verbo
aymuku,dejar de paso palos u objetos alargados no flexibles,verbo
aynaqa,llevar o traer palos por aquí y por allá,verbo
aynuqu,dejar palo(s) en un sitio determinado,verbo
aypta,recoger o levantar palo(s),verbo
ayqhullu,sostener palo en alto,verbo
ayshu,sacar (palo(s) u objeto(s) alargado(s) no flexible(s)); retirar obstáculos (alargados) del camino; soltar o encender (cohetes que vienen con una cañita o varilla),verbo
ayshqha,volver a sacar palo(s) u objeto(s) alargado(s) no flexible(s),verbo
ayuru,"meter (mano, brazo o algo alargado)",verbo
aywaqa,"t. bajar palo(s). **aya** (2) s. alma (de muerto(a)), espectro; cadáver",verbo
ayayawa,"?ay!, ?qué dolor! (expresa más intensidad que **ayaya** ). **aytyi.** v. cubrir con tierra los huecos donde se introdujo semilla. **aytri.** v. batir, mover en círculo (la sopa, lo que se fríe en sartén, etc.)",interjección
aytraytrara,"remover rápido y sin cuidado (cosas espesas, cosas menudas, etc.)",verbo
aytrpta,remover con el cucharón (para evitar que lo sólido se quede en el fondo de la olla y se queme),verbo
ayuwi,"hacer girar, imprimir movimiento circular (a pañuelo, llavero, etc.)",verbo
aywt’a,"marearse. **ayka.** pron. ?cuánto?, ?cuánta(s)?, ?cuánto(s)?",verbo
aykappsa,siempre; nunca (en conexión con -,adverbo
aykapha,? cuándo?,adverbo
aylltr’a,"envolver, cubrir. Bajar",verbo
aylltr’anushu,"envoltorio, cubierta, lo que sirve para envolver o cubrir. **aylli**. v. hervir; aglomerarse (gente o animales); **aylliri** o **ayllkiri.** adj. hirviente",sustantivo
aylluru,"rebosar. V. **ty’impu** (2). **ayri**. s. aire (lo que se respira); aire (malestar por expo- ción a corriente de aire). **ayruplanu**. s. avión, aeroplano. **ayski.** adv. de verdad, ciertamente. **Aysha.** Ayza (el pueblo de Ayza, del distrito de Tupe, provincia de Yauyos)",verbo
aywmuku,"enjuagar a la ligera, a la pasada",verbo
aywpta,dar una enjuagada rápida y sacar,verbo
aywshu,"enjuagar. **aywmuku** , **aywpta** , **aywshu** V. **aywinku**. **aywt’a** V. **aytri**. # B **bakasiyunha.** s. vacaciones. **bala.** s. bala",verbo
balaku,fanfa- rronear; mentir fanfarroneando; s. fanfarronada; mentira,verbo
bilaya,velar (enfermo o muerto). **bina.** s. vena. **binagri.** s. vinagre. **bingansa.** s. venganza,verbo
bingishi,vengarse,verbo
bininshu,envenenar. V. **inki**. **bintana** o **billtana.** s. ventana. **binu.** s. vino. **bírnisi.** s. viernes. **bisinu.** s. vecino(a). **biwila.** s. vihuela.***biguyla*** **biyulinhi.** s. violín,verbo
biyulinhista,violi-nista. **bruñshu.** v. pintarse o pintarrajearse,sustantivo
bruñshishi,"pintarse la cara, pintarrajearse (unos(as) a otros(as)). **bulsillu.** s. bolsillo. **butasa.** s. bota(s). **butilla.** s. botella. **butpta.** v. rebotar. **butunha.** s. botón. **buwiltu.** s. vuelto, cambio (dinero). ## CH **-ch-.** suf. se usa en la unión o reduplicación de raíces verbales. Ej.:",verbo
chakchakara,buscar en varios lugares rápidamente,verbo
chaknaqa,buscar por aquí y por allá,verbo
chakshu,"buscar en todos los lugares, buscar comple- tamente. **chakma.** v. barbechar. V. **ch’ajma**. **challa.** v. salpicar (líquido o pequeños fragmentos sólidos); desportillar; romperse (vaso, botella, etc.); **challata** o **challta**. adj. desportillado(a), roto(a) (vaso, botella)",verbo
challaya,"hacer salpicar (líquido o pequeños fragmentos sólidos); despor-tillar, romper.***derribar; s. choclo tierno al que empiezan a brotar sus cabellos***",verbo
challiri,"cascada, catarata. V. **paqchi** (2), **qajsiri**. **challiri** V. **challa**. **challwa.** s. pez, pescado (SB). **chamiskula.** s. chamiscol (bebida preparada con agua, alcohol, limón, hojas de eucalipto, wamanripa, shumaña, etc.). ***shumaña y azúcar).*** **chamisu.** s. paja seca; hojas secas y ramitas secas. **champa.** s. masa de tierra, raíces y grama que se forma en las acequias y en el campo; grama o pasto de raíces muy ramificadas que crece donde dejó de darse alfalfa (requiere poca agua)",sustantivo
champshu,"formarse masa de tierra, raíces y grama. **champaqara** V. **kánhara**. **chancha.** v. caminar lentamente. **chanqi** (1) v. golpear con piedra o martillo",verbo
chanqara,practicar abertura a golpes; romper el huevo para freír; golpear calabaza para abrirla,verbo
chanqshu,"golpear con piedra o martillo. **chanqi** (2) v. prender, encender (fogón, fósforo). **chanta.** v. hincar, punzar",verbo
chaqshu,"secarse completamente, secarse todos(as) (plantas); extinguirse todos(as), morir todos(as)",verbo
chaqshuya,"hacer secarse completamente, hacer secarse todos(as); hacer morir a todos(as), exterminar. **charaka.** s. árbol grande de tallo recto. **charki.** s. cecina, carne seca y deshidratada, charqui. **chawara.** s. soga (de maguey). V. **matya** .***fibras de maguey*** **chawcha.** s. variedad de papa pequeña que se desarrolla en menos tiempo que las otras. **chawi.** s. arbusto de tallo ramificado, de flores moradas. **chaaka.** s. puente. **chaaki.** adj. seco(a); v. i. secarse, secar",verbo
chaakiya,"t. secar, hacer secar",verbo
chaakiynushu,lugar donde se tiende la ropa,sustantivo
chaakpta,sentir mucha sed,verbo
chaakshishi,"secarse (con toalla), secarse. (Esta palabra está formada por",verbo
chaakshu,"i. secarse, marchitarse; enronquecer (voz, garganta)",verbo
chaaktataya,tender la ropa (en el suelo o sobre piedras),verbo
chaakuru,"dejar secar, orear. **chityawarqa.** s. arbusto que florece en época de lluvia. Es de flores blancas y hojas como las de la vid. **chifliya.** v. soplar el viento, azotar el viento; tiritar. **chiji.** s. jeme (medida, estirando el pulgar y el índice). (TMX-JCT anotan que",verbo
chikara,"ensartar, poner en sarta; pasar el hilo por el ojo de la aguja. **chikchiki.** v. piar. **chiku.** v. separar (corto tiempo) a la cría de la madre (hablando de terneros, cabritos). (No es destete.)",verbo
chikuchiku,"baile en la fiesta de la herranza. **chilinu.** adj. crespo(a), ondulado(a)",sustantivo
chilintr’a,"encres-parse. **chilu.** s. cordón para ajustar la faja (V. **wak’a** ); pedúnculo (de flor). **chillaykuna.** s. lorito (de raza pequeña). **chilli.** v. destemplarse (diente, al probar algo ácido o agrio). **chillitaya.** s. yerba de hojas pequeñas y flores rojas o amarillas. Es buena para el dolor de estómago, el mal de altura y el aire (V. **ayri** ). **chillka.** s. arbusto frondoso; se emplea para leña. Sus flores son entre blancas y amarillas. **chima** (1) s. barriga, vientre",verbo
chimini,"con barriga, embarazada, encinta",adjetivo
chiminiwt’a,"salir embarazada, quedar encinta",verbo
chimatha,de barriga,adverbo
chimaya,hacer empujar,verbo
chimar- paya,"botar, arrojar (a zanja o precipicio, o desde borde de andén)",verbo
chimkata,dar un empujón (para que algo ruede o se mueva),verbo
chimnatsa,empujar hacia abajo,verbo
chimuru,empujar hacia adentro. **china.** s,verbo
chiwa,red para pescar (TMX-JCT). **chipaqa.** s,sustantivo
chiqurqha,volver a cargar al costado cruzando la manta al cuello. **chirimuya.** s. chirimoya. **chirqi.** s. paso,verbo
chirqa,"dar pasos; crecer en determinada dirección (raíces, plantas)",verbo
chirqkata,atravesar o cruzar zanja o acequia de un salto o de un paso largo,verbo
chirqkipa,"dar un paso pasando por encima (de obstáculo, tronco, zanja, acequia)",verbo
chirqnatsa,bajarse por un andén o muro,verbo
chirqpta,"dar los primeros pasos (niño(a) que aprende a caminar). **chita.** adj. arrugado(a), rugoso(a), con arrugas",verbo
chitshu,"arrugarse, ponerse arrugado(a); **chitshuta.** adj. arrugado(a), con arrugas. **chiwatu.** s. cabra, chivo. **chiwchi.** s. pollo(a)",verbo
